Quantity 5 Spinach sold.
Quantity 3 Radishes sold.
Quantity 7 Broccoli sold.
Quantity 8 Peas sold.
Quantity 10 Cranberries sold.
Quantity 5 Potatoes sold.
Quantity 9 Cucumbers sold.
Quantity 5 Peaches sold.
Quantity 10 Zucchini sold.
Quantity 2 Cantaloupe sold.
Quantity 3 Beets sold.
Quantity 6 Cauliflower sold.
Quantity 4 Onions sold.
Quantity 5 Yams sold.
Quantity 4 Apples sold.
Quantity 6 Celery sold.
Quantity 1 Limes sold.
Quantity 8 Garlic sold.
Quantity 2 Pumpkins sold.
Quantity 1 Pears sold.
